TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
CLR – Cash letters/Cheques remittance,1/13/2012,1/28/2012,364396669,5,Investment deposit,34116266,GBP,0313-0912-3,34116266,2546823.09,3245.99
COM – Commission,1/19/2012,1/21/2012,335660246,9,Misc.,25165734,GBP,0540-0154-7,25165734,9414642.5,3761.69
MSC – Miscellaneous,1/23/2012,2/18/2012,86753418,7,Deposits,48790989,GBP,0421-0226-7,48790989,16583563.7,2701.21
BRF – Brokerage fee,1/13/2012,1/20/2012,200300853,1,Checking Costs,82060474,EUR,0642-0816-5,82060474,8601682.81,233.01
CMZ – Cash management item – Zero balancing,1/2/2012,1/28/2012,691386720,9,Other,21503028,EUR,0421-0226-7,21503028,10074741.61,707.31
PRN – Securities Related Item – Principal pay-down/pay-up,1/22/2012,1/23/2012,266063138,5,Transfer,36394722,JPY,0313-0912-3,36394722,8460197.98,6369.78
TRN – Securities Related Item – Transaction fee,1/23/2012,2/11/2012,984039223,7,Citibank,17724780,GBP,0839-0068-0,17724780,16128661.22,537.99
MSC – Miscellaneous,1/15/2012,2/4/2012,511592053,3,Transfer,71341963,GBP,0839-7428-9,71341963,15213448.43,1550.81
REC – Securities Related Item – Tax reclaim,1/15/2012,2/1/2012,722396134,7,Replenishment,93219228,GBP,0550-0330-8,93219228,3681500.28,5331.66
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/2/2012,1/18/2012,55697831,3,Replenishment,14529235,GBP,0421-0226-7,14529235,6703630.11,2627.11
REC – Securities Related Item – Tax reclaim,1/19/2012,2/16/2012,931446825,9,Other,49959651,GBP,0839-0068-0,49959651,12102851.65,6486.91
STP – Securities Related Item – Stamp duty,1/19/2012,2/13/2012,718232130,4,Other,37599457,JPY,0515-0339-4,37599457,13075855.06,3053.12
INT – Interest,1/19/2012,1/21/2012,213188184,5,Checking Costs,37889025,EUR,0839-7428-9,37889025,5063435.91,3317.89
CMS – Cash management item – Sweeping,1/25/2012,2/11/2012,330617861,5,Other,5975330,USD,0313-0912-3,5975330,17128142.04,1937.75
TRF – Transfer,1/12/2012,1/26/2012,994662188,5,Citibank,82336040,EUR,0531-0112-1,82336040,10802080.19,1180.44
TRN – Securities Related Item – Transaction fee,1/21/2012,1/31/2012,300044541,8,Citibank,43459029,EUR,0642-0816-5,43459029,1867811.39,1388.52
POP – Securities Related Item – Pair-off proceeds,1/16/2012,1/23/2012,927938464,5,Checking Costs,12004643,JPY,0839-0068-0,12004643,3671195.04,4484.06
STO – Standing order,1/26/2012,2/11/2012,117882227,14,Citibank,62904171,JPY,0312-0471-0,62904171,1632307.78,4491.85
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/15/2012,1/18/2012,881719638,7,Replenishment,71387586,USD,0515-0339-4,71387586,4168174.61,5679.56
SLE – Securities Related Item – Securities lending related,1/22/2012,2/3/2012,279709464,3,Deposits,77889673,JPY,2631-9138-7,77889673,7542925.76,6002.84
CMS – Cash management item – Sweeping,1/11/2012,1/19/2012,294913188,15,Misc.,85769091,GBP,0312-0471-0,85769091,134342.41,3353.3
TCK – Travellers cheques,1/21/2012,1/31/2012,136325499,8,Citibank,58273188,GBP,0839-0068-0,58273188,11559748.72,5989.77
CMT – Cash management item -Topping,1/21/2012,2/5/2012,181482591,5,Investment deposit,68743696,GBP,0622-0398-4,68743696,3138920.37,5499.41
PRN – Securities Related Item – Principal pay-down/pay-up,1/21/2012,2/8/2012,845630599,16,Replenishment,30328502,JPY,0312-0471-0,30328502,8798740.52,6185.73
ODC – Overdraft charge,1/28/2012,2/15/2012,312689556,1,Investment deposit,15240070,GBP,2631-9138-7,15240070,2330573.07,5624.09
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/22/2012,1/27/2012,274646564,17,Citibank,11261125,USD,0312-0471-0,11261125,15390382.24,5319.19
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/28/2012,2/13/2012,731839272,9,Replenishment,19116669,USD,0642-0816-5,19116669,18484279.5,4951.38
MAR – Securities Related Item – Margin payments/Receipts,1/29/2012,2/7/2012,337043227,8,Citibank,99259731,GBP,0313-0912-3,99259731,9218601.46,1839.25
CMZ – Cash management item – Zero balancing,1/13/2012,2/10/2012,130317205,5,Checking Costs,77638343,JPY,0839-0068-0,77638343,7161044.02,5035.44
LDP – Loan deposit,1/11/2012,2/1/2012,98353404,6,Service Charge,91963153,JPY,0642-0816-5,91963153,9509171.63,2036.6
CMP – Compensation claims,1/13/2012,2/3/2012,44781348,5,Replenishment,25536457,USD,0622-0398-4,25536457,9182171.35,797.56
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/2/2012,1/22/2012,382235952,9,Investment deposit,53576697,GBP,0839-0068-0,53576697,4751049.28,2178.64
RIG – Securities Related Item – Rights,1/11/2012,1/24/2012,320777872,4,Deposits,99952447,JPY,0540-0154-7,99952447,17888119.33,2329.74
LDP – Loan deposit,1/19/2012,2/10/2012,464058165,4,Citibank,74876,EUR,0622-0398-4,74876,12960933.91,1081.31
ODC – Overdraft charge,1/24/2012,2/5/2012,361829857,9,Citibank,57997084,GBP,0839-0068-0,57997084,6816031.72,1974.32
DDT – Direct Debit Item,1/14/2012,1/29/2012,756439318,3,Transfer,78963732,GBP,0550-0330-8,78963732,12220099.19,100.09
INT – Interest,1/28/2012,2/5/2012,113565292,5,Investment deposit,78542493,USD,0514-0426-0,78542493,17852739.89,735.42
TAX – Securities Related Item – Withholding tax payment,1/27/2012,2/6/2012,20855250,1,Other,26268763,USD,0611-1341-5,26268763,8700792,1978.29
CMI – Cash management item – No detail,1/16/2012,1/28/2012,744276630,8,Service Charge,61191373,USD,0514-0426-0,61191373,16636838.56,5350.99
CMN – Cash management item – Notional pooling,1/17/2012,1/20/2012,213955503,2,Service Charge,58109328,USD,0421-0226-7,58109328,13911357.35,3541.65
MSC – Miscellaneous,1/7/2012,1/24/2012,718037520,4,Misc.,71692345,GBP,2631-9138-7,71692345,5698353.72,1734.56
LBX – Lock box,1/11/2012,2/3/2012,818531363,1,Deposits,25703697,GBP,0839-7428-9,25703697,11810950.69,4626.49
CPN – Securities Related Item – Coupon payments,1/10/2012,1/29/2012,768521925,8,Deposits,16401696,GBP,0622-0398-4,16401696,16223292.78,941.17
NWI – Securities Related Item – New issues distribution,1/17/2012,1/27/2012,794808468,18,Deposits,62179104,EUR,0312-0471-0,62179104,12861618.2,5902.49
STP – Securities Related Item – Stamp duty,1/26/2012,2/8/2012,92675241,8,Misc.,5630219,USD,0839-7428-9,5630219,3257031.07,3516.1
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/22/2012,1/23/2012,761639782,9,Replenishment,84827404,EUR,1110-1769-4,84827404,3003572.57,3065.45
CPN – Securities Related Item – Coupon payments,1/2/2012,1/24/2012,654938156,19,Transfer,72080726,GBP,0312-0471-0,72080726,6912183.96,1654.95
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/6/2012,1/24/2012,922175362,1,Other,42460739,EUR,0622-0398-4,42460739,17072928.13,1249.58
DIV – Securities Related Item – Dividends,1/23/2012,1/29/2012,213535683,20,Replenishment,76268119,GBP,0312-0471-0,76268119,1467434.41,91.52
DIS – Securities Related Item – Gains disbursement,1/29/2012,2/15/2012,344332582,6,Investment deposit,10446910,USD,0839-0068-0,10446910,6501607.48,1511.1
COL – Collections (used when entering a principal amount),1/5/2012,1/13/2012,525265983,4,Investment deposit,25468925,EUR,0532-0160-7,25468925,9831614.41,1973.71
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/18/2012,1/25/2012,592307231,2,Transfer,33897033,JPY,0514-0426-0,33897033,7087738.81,1794.84
MAT – Securities Related Item – Maturity,1/21/2012,2/17/2012,591498515,9,Investment deposit,17655583,USD,0531-0112-1,17655583,11419913.41,276.55
CMZ – Cash management item – Zero balancing,1/4/2012,1/30/2012,120188833,4,Transfer,10511770,USD,1110-1769-4,10511770,3081111.43,5933.22
CMI – Cash management item – No detail,1/10/2012,1/28/2012,39885138,2,Citibank,71427016,EUR,0514-0426-0,71427016,14924263.44,2362.81
OPT – Securities Related Item – Options,1/7/2012,1/20/2012,669719816,9,Deposits,75448116,USD,0839-0068-0,75448116,12643867.31,4257.23
CAS – Securities Related Item – Cash in Lieu,1/15/2012,1/21/2012,526601861,3,Citibank,17389703,JPY,0532-0160-7,17389703,8533858.63,1594.64
RIG – Securities Related Item – Rights,1/14/2012,1/21/2012,411829731,1,Citibank,90170592,JPY,1110-1769-4,90170592,7919438.87,3437.6
DIV – Securities Related Item – Dividends,1/17/2012,1/25/2012,407074752,5,Replenishment,86309428,GBP,2631-9138-7,86309428,5829475.83,1799.06
CMS – Cash management item – Sweeping,1/13/2012,2/9/2012,166946279,6,Misc.,70587751,USD,0313-0912-3,70587751,17001577.43,2899.52
INT – Interest,1/13/2012,1/21/2012,57060104,21,Checking Costs,13272086,JPY,0312-0471-0,13272086,10539188.74,2041.69
OPT – Securities Related Item – Options,1/27/2012,2/22/2012,958634381,2,Checking Costs,6749256,JPY,0550-0330-8,6749256,8979791.17,1454.47
CHK – Cheques,1/11/2012,1/27/2012,842633980,4,Checking Costs,72409823,EUR,0515-0339-4,72409823,9139371.02,99999
TCM – Securities Related Item – Tripartite collateral management,1/23/2012,2/1/2012,595863836,9,Replenishment,48414232,EUR,0839-7428-9,48414232,1328148.83,3472.12
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/22/2012,2/2/2012,810397022,5,Investment deposit,49451075,USD,0421-0226-7,49451075,5071783.22,2674.66
BNK – Securities Related Item – Bank fees,1/18/2012,1/31/2012,973240838,2,Replenishment,57782778,GBP,0514-0426-0,57782778,10975867.98,398.77
MAT – Securities Related Item – Maturity,1/27/2012,2/18/2012,839271178,6,Deposits,91707790,USD,0622-0398-4,91707790,9446468.76,283.87
BOE – Bill of exchange,1/25/2012,1/26/2012,198963880,1,Service Charge,41790460,USD,0540-0154-7,41790460,6425115.35,3119.95
SLE – Securities Related Item – Securities lending related,1/22/2012,1/26/2012,334153961,4,Citibank,35429887,USD,1110-1769-4,35429887,11068684.5,6029.4
EQA – Equivalent amount,1/13/2012,2/4/2012,164010616,3,Other,5442366,USD,0531-0112-1,5442366,12375795.5,5611.78
STP – Securities Related Item – Stamp duty,1/23/2012,2/7/2012,482470975,1,Citibank,94754740,GBP,0642-0816-5,94754740,4294072.33,3328.12
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/26/2012,2/6/2012,741107482,4,Investment deposit,61399422,JPY,0313-0912-3,61399422,3580102.06,116.42
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/15/2012,2/6/2012,673183760,6,Citibank,64092322,USD,1110-1769-4,64092322,13454591.57,5415.14
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/15/2012,1/16/2012,110473581,2,Service Charge,20739872,EUR,0515-0339-4,20739872,8728565.96,4453.99
MAT – Securities Related Item – Maturity,1/4/2012,1/5/2012,631126998,3,Deposits,16079221,USD,0611-1341-5,16079221,5801361.04,2232.1
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/23/2012,2/15/2012,88614666,8,Replenishment,5911211,GBP,0611-1341-5,5911211,2019222.22,5757.41
BRF – Brokerage fee,1/26/2012,1/29/2012,518423598,7,Other,79098689,JPY,0514-0426-0,79098689,13184620.19,5257.68
CPN – Securities Related Item – Coupon payments,1/12/2012,2/3/2012,185463931,1,Misc.,60131045,EUR,0531-0112-1,60131045,5172041.83,4581.53
DCR – Documentary credit (used when entering a principal amount),1/19/2012,1/28/2012,705163490,5,Citibank,86447887,GBP,0531-0112-1,86447887,9892918.06,4429.5
INT – Interest,1/29/2012,2/1/2012,242930067,22,Checking Costs,91885603,EUR,0312-0471-0,91885603,4277000.22,1609.32
TRA – Securities Related Item – Internal transfer for own account,1/9/2012,1/16/2012,157751646,3,Investment deposit,91630615,EUR,0622-0398-4,91630615,16541402.5,240.66
WAR – Securities Related Item – Warrant,1/29/2012,2/21/2012,187937194,3,Replenishment,95039426,JPY,0421-0226-7,95039426,3025797.65,4067.85
RED – Securities Related Item – Redemption/Withdrawal,1/12/2012,1/25/2012,279116131,1,Investment deposit,37044805,GBP,0421-0226-7,37044805,8585618.11,3252.95
LDP – Loan deposit,1/24/2012,2/13/2012,244155301,5,Citibank,36561981,GBP,0540-0154-7,36561981,7031716.46,1590.85
OPT – Securities Related Item – Options,1/5/2012,1/31/2012,339193714,23,Service Charge,7639761,USD,0312-0471-0,7639761,10337537.46,2638.24
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/8/2012,1/18/2012,350016587,7,Transfer,38307911,JPY,0515-0339-4,38307911,10386151.81,1258.21
SWP – Securities Related Item – SWAP payment,1/30/2012,2/3/2012,742618848,2,Service Charge,12432410,GBP,0514-0426-0,12432410,1393205.74,5718.52
POP – Securities Related Item – Pair-off proceeds,1/6/2012,1/19/2012,488902266,2,Checking Costs,44360708,EUR,0622-0398-4,44360708,14989665.91,6323.81
EXT – Securities Related Item – External transfer for own account,1/26/2012,2/22/2012,183057416,2,Deposits,63041381,JPY,0540-0154-7,63041381,14181143.65,2457.38
EQA – Equivalent amount,1/10/2012,2/2/2012,133181470,4,Citibank,53661412,JPY,0515-0339-4,53661412,17789525.11,2989.19
SLE – Securities Related Item – Securities lending related,1/13/2012,2/2/2012,682699604,1,Citibank,33241060,JPY,0540-0154-7,33241060,8698231.11,1685.26
RED – Securities Related Item – Redemption/Withdrawal,1/27/2012,2/23/2012,163993876,7,Investment deposit,19162945,USD,1110-1769-4,19162945,14443443.78,4268.56
DCR – Documentary credit (used when entering a principal amount),1/13/2012,1/22/2012,751054089,4,Service Charge,45999968,USD,0642-0816-5,45999968,17506037.26,3635.41
EQA – Equivalent amount,1/29/2012,2/22/2012,977117346,9,Replenishment,91870762,EUR,0514-0426-0,91870762,11123846.11,5064.9
SLE – Securities Related Item – Securities lending related,1/16/2012,1/25/2012,146717589,9,Citibank,19809674,USD,2631-9138-7,19809674,1820439,3245.85
DDT – Direct Debit Item,1/30/2012,2/1/2012,992658392,6,Other,39228438,GBP,0421-0226-7,39228438,737006.06,1402.6
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/8/2012,1/15/2012,316748464,7,Misc.,45042855,USD,1110-1769-4,45042855,15067133.65,1754.65
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/30/2012,2/12/2012,385505913,9,Replenishment,55990535,USD,0313-0912-3,55990535,13101071.67,2707.83
EXT – Securities Related Item – External transfer for own account,1/15/2012,1/31/2012,645725162,9,Service Charge,11897846,GBP,0531-0112-1,11897846,17044671.94,5917.99
CAS – Securities Related Item – Cash in Lieu,1/27/2012,2/7/2012,234283561,2,Deposits,4277261,JPY,0622-0398-4,4277261,1368844.44,185
DIV – Securities Related Item – Dividends,1/13/2012,2/7/2012,61274687,6,Other,51421019,GBP,0642-0816-5,51421019,2111977.02,5101.31
REC – Securities Related Item – Tax reclaim,1/13/2012,1/20/2012,753420210,6,Misc.,30740327,GBP,0550-0330-8,30740327,16668837.57,3246.88
CMI – Cash management item – No detail,1/1/2012,1/11/2012,283990365,8,Citibank,81478683,USD,0550-0330-8,81478683,6684718.87,691.56
TRN – Securities Related Item – Transaction fee,1/26/2012,2/8/2012,128892721,7,Replenishment,98792848,JPY,0515-0339-4,98792848,15966144.57,2365.52
LDP – Loan deposit,1/17/2012,2/9/2012,528905767,5,Service Charge,25770333,EUR,0421-0226-7,25770333,10317102.72,6281.19
CHK – Cheques,1/19/2012,2/14/2012,108613047,3,Citibank,27633594,USD,0550-0330-8,27633594,15950697.48,99999
TRN – Securities Related Item – Transaction fee,1/22/2012,2/10/2012,76476589,2,Transfer,68344005,EUR,0622-0398-4,68344005,5317652.15,1191.95
MAR – Securities Related Item – Margin payments/Receipts,1/18/2012,1/26/2012,302653672,6,Other,50460929,EUR,0839-7428-9,50460929,2449994.93,2350.21
SUB – Securities Related Item – Subscription,1/18/2012,1/29/2012,166170481,2,Deposits,26299517,USD,1110-1769-4,26299517,16771584.56,731.07
WAR – Securities Related Item – Warrant,1/7/2012,1/8/2012,914892589,2,Citibank,62273699,EUR,0611-1341-5,62273699,4651268.19,5533.81
BRF – Brokerage fee,1/24/2012,2/9/2012,246828032,4,Misc.,13712521,EUR,0313-0912-3,13712521,8934629.37,4918.25
LDP – Loan deposit,1/12/2012,2/6/2012,184968243,6,Deposits,20770700,JPY,0532-0160-7,20770700,6146014,4179.21
NWI – Securities Related Item – New issues distribution,1/27/2012,2/1/2012,682326841,24,Service Charge,20233657,JPY,0312-0471-0,20233657,6727941.15,1154.31
WAR – Securities Related Item – Warrant,1/25/2012,1/28/2012,57718253,1,Service Charge,58420138,USD,0515-0339-4,58420138,5268754.96,4007.62
CMT – Cash management item -Topping,1/19/2012,2/3/2012,610149000,2,Deposits,51375617,GBP,0531-0112-1,51375617,7661313,440.82
BRF – Brokerage fee,1/5/2012,1/15/2012,625245067,25,Service Charge,79893714,GBP,0312-0471-0,79893714,2716223.22,6190.14
TRF – Transfer,1/10/2012,1/23/2012,981757980,1,Investment deposit,56009800,USD,2631-9138-7,56009800,6285169.94,6077.28
MAT – Securities Related Item – Maturity,1/12/2012,1/12/2012,686019692,1,Misc.,91010975,JPY,0550-0330-8,91010975,7207970.81,1045.45
REC – Securities Related Item – Tax reclaim,1/23/2012,1/23/2012,364781961,2,Replenishment,18824221,JPY,0642-0816-5,18824221,5915507.19,2793.22
CLR – Cash letters/Cheques remittance,1/18/2012,1/28/2012,410285621,26,Transfer,74591439,USD,0312-0471-0,74591439,13325881.87,1685.02
PRN – Securities Related Item – Principal pay-down/pay-up,1/10/2012,2/1/2012,328071165,5,Other,30191342,USD,0515-0339-4,30191342,6412440.46,5490.36
