RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
2/1/11,Adams,Adams,Hershey park ,Hershey park ,School Bus ,Sporting Event ,No ,Medium ,Individual - Existing ,No ,Personal ,Invoiced
11/2/10,Fairview,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Graduation ,No ,None ,School District - New ,Yes ,Health Related ,Invoiced
3/11/5,Boswell,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Funeral ,No ,High ,Corporate - New ,No ,Weather ,Credit
12/11/5,Liverpool,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Hummer Limo ,Wedding ,No ,Medium ,Individual - New ,No ,Maintenance ,Rewards
8/5/10,Big Run,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Sporting Event ,No ,High ,Corporate - Existing ,Yes ,Accident ,Personal Credit Card
8/11/12,Big Run,Yorkana,Gettysburg ,Gettysburg ,Hummer Limo ,Birthday ,No ,High ,Corporate - Existing ,Yes ,Accident ,Rewards
5/1/2,East Brady,Big Run,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Cruise ,Yes ,Medium ,School District - New ,No ,Health Related ,Credit
10/9/11,Yorkana,Liverpool,Gettysburg ,Gettysburg ,Hummer Limo ,Funeral ,No ,Medium ,School District - Existing ,Yes ,Maintenance ,Invoiced
10/2/2,Fairview,Adams,Dorney Park ,Dorney Park ,Min Bus ,Corporate ,No ,Low ,School District - Existing ,No ,Health Related ,Credit
2/9/9,Big Run,East Brady,Kennywood Park ,Kennywood Park ,Ford Excursion ,Wedding ,No ,None ,Religous - New ,Yes ,Health Related ,Rewards
7/5/2,Boswell,Big Run,lost river caverns ,lost river caverns ,Church Bus ,Birthday ,No ,Medium ,Religous - New ,Yes ,Health Related ,Invoiced
6/8/8,McVeytown,Liverpool,Sesame Place ,Sesame Place ,Min Bus ,Holiday ,No ,High ,Individual - Existing ,Yes , ,Invoiced
9/5/3,Fairview,Boswell,Waldameer and Water World ,Waldameer and Water World ,Limo Bus ,Wedding ,Yes ,Medium ,Individual - Existing ,Yes ,Accident ,Rewards
8/3/2,McVeytown,Cassandra,Dorney Park ,Dorney Park ,Mini Van ,Graduation ,Yes ,Medium ,Corporate - New ,Yes ,Accident ,Rewards
10/7/9,Cassandra,Adams,Liberty Bell ,Liberty Bell ,Mini Van ,Funeral ,No ,High ,Religous - New ,No ,Personal ,Check
2/6/11,Boswell,Fairview,lost river caverns ,lost river caverns ,Min Bus ,Anniversary ,Yes ,Medium ,Individual - Existing ,No , ,Invoiced
8/6/2,Yorkana,East Brady,Kennywood Park ,Kennywood Park ,Sedan ,Travel/Airport ,No ,Medium ,School District - New ,Yes , ,Credit
2/2/1,Boswell,Gilberton,lost river caverns ,lost river caverns ,Ford Excursion ,Cruise ,Yes ,Low ,School District - New ,No ,Maintenance ,Credit
3/10/10,Boswell,Adams,Sesame Place ,Sesame Place ,Ford Excursion ,Cruise ,Yes ,None ,School District - New ,No , ,Check
6/12/8,New Paris,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Tour ,Yes ,Low ,School District - New ,No ,Moving or Traffic Violation ,Personal Credit Card
4/2/7,McVeytown,Yorkana,Liberty Bell ,Liberty Bell ,Ford Excursion ,Graduation ,No ,Medium ,School District - New ,No ,Maintenance ,Cash
11/8/8,Boswell,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Corporate ,No ,High ,Corporate - Existing ,Yes ,Personal ,Rewards
5/7/8,Jefferson,Liverpool,Hershey park ,Hershey park ,Van ,Corporate ,No ,High ,Religous - Existing ,No ,Health Related ,Rewards
6/5/7,New Paris,Liverpool,Hershey park ,Hershey park ,Min Bus ,Graduation ,No ,Low ,Religous - Existing ,No ,Accident ,Invoiced
10/4/2,New Paris,Big Run,Sesame Place ,Sesame Place ,Ford Excursion ,Wedding ,Yes ,None ,Religous - Existing ,No ,Weather ,Invoiced
10/6/8,East Brady,Gilberton,Dutch Wonderland ,Dutch Wonderland ,School Bus ,Tour ,No ,Low ,School District - New ,Yes ,Driver Error or Miscalculation ,Invoiced
6/4/10,New Paris,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Tour ,No ,High ,Corporate - Existing ,Yes , ,Check
10/7/9,McVeytown,Adams,Sesame Place ,Sesame Place ,Van ,Birthday ,No ,Medium ,School District - New ,No ,Moving or Traffic Violation ,Check
5/3/1,Yorkana,Cassandra,Sesame Place ,Sesame Place ,Min Bus ,Travel/Airport ,Yes ,High ,Religous - New ,No ,Weather ,Credit
10/8/12,Big Run,East Brady,lost river caverns ,lost river caverns ,Van ,Tour ,Yes ,High ,School District - Existing ,No ,Accident ,Personal Credit Card
1/12/1,Jefferson,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Holiday ,Yes ,None ,Religous - Existing ,Yes ,Weather ,Invoiced
3/6/12,McVeytown,Adams,Sesame Place ,Sesame Place ,Mini Van ,Graduation ,Yes ,None ,Religous - Existing ,No ,Driver Error or Miscalculation ,Credit
10/4/11,Gilberton,McVeytown,Gettysburg ,Gettysburg ,Sedan ,Birthday ,No ,High ,School District - Existing ,No ,Health Related ,Invoiced
2/9/6,Fairview,Jefferson,lost river caverns ,lost river caverns ,Min Bus ,Anniversary ,No ,High ,Religous - New ,Yes ,Accident ,Personal Credit Card
10/1/4,Cassandra,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Sporting Event ,No ,High ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Check
6/10/8,Big Run,Yorkana,Sesame Place ,Sesame Place ,School Bus ,Cruise ,No ,Medium ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Credit
8/3/1,Liverpool,Boswell,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Private ,No ,None ,Corporate - Existing ,Yes ,Moving or Traffic Violation ,Check
10/3/7,Boswell,Cassandra,Dorney Park ,Dorney Park ,Hummer Limo ,Sporting Event ,No ,None ,Individual - New ,Yes , ,Credit
9/6/2,New Paris,McVeytown,Waldameer and Water World ,Waldameer and Water World ,Towne Car ,Graduation ,No ,None ,Religous - Existing ,No ,Weather ,Cash
6/3/2,Liverpool,Gilberton,Liberty Bell ,Liberty Bell ,School Bus ,Funeral ,No ,Low ,Religous - Existing ,No ,Weather ,Personal Credit Card
9/7/1,Jefferson,Adams,Gettysburg ,Gettysburg ,Van ,Funeral ,Yes ,Low ,School District - Existing ,Yes ,Personal ,Rewards
4/2/12,Yorkana,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Graduation ,No ,Low ,Corporate - New ,No ,Accident ,Check
4/8/3,East Brady,New Paris,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Ford Excursion ,Anniversary ,Yes ,Medium ,Corporate - New ,Yes ,Weather ,Rewards
9/2/10,Big Run,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Sporting Event ,No ,None ,School District - Existing ,Yes ,Accident ,Personal Credit Card
4/5/8,Jefferson,Cassandra,Philadelphia Zoo ,Philadelphia Zoo ,Limo Bus ,Corporate ,Yes ,Medium ,School District - Existing ,No ,Weather ,Rewards
4/1/9,McVeytown,McVeytown,Gettysburg ,Gettysburg ,Towne Car ,Private ,No ,Medium ,Individual - New ,No ,Accident ,Check
10/6/7,Adams,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Private ,Yes ,None ,Corporate - Existing ,No ,Moving or Traffic Violation ,Credit
3/2/8,Fairview,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Church Bus ,Private ,No ,Medium ,Religous - Existing ,No ,Moving or Traffic Violation ,Rewards
7/10/4,Adams,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Wedding ,Yes ,None ,School District - New ,No ,Driver Error or Miscalculation ,Cash
8/10/12,Yorkana,Liverpool,Kennywood Park ,Kennywood Park ,Hummer Limo ,Travel/Airport ,No ,Medium ,School District - Existing ,Yes ,Maintenance ,Credit
9/4/8,Fairview,McVeytown,Hershey park ,Hershey park ,Mini Van ,Private ,No ,None ,Corporate - New ,No ,Health Related ,Check
9/7/7,Yorkana,Adams,Kennywood Park ,Kennywood Park ,Stretch ,Anniversary ,No ,High ,Individual - Existing ,No ,Personal ,Personal Credit Card
8/2/1,Liverpool,Fairview,Hershey park ,Hershey park ,Hummer Limo ,Birthday ,Yes ,Medium ,Religous - Existing ,No ,Maintenance ,Check
7/2/11,New Paris,East Brady,Kennywood Park ,Kennywood Park ,Ford Excursion ,Funeral ,No ,High ,School District - New ,No ,Accident ,Cash
3/2/4,Big Run,East Brady,Dorney Park ,Dorney Park ,Towne Car ,Cruise ,Yes ,High ,School District - Existing ,No ,Personal ,Check
4/7/2,Liverpool,McVeytown,lost river caverns ,lost river caverns ,Ford Excursion ,Funeral ,No ,High ,Individual - New ,Yes ,Accident ,Personal Credit Card
6/6/10,Gilberton,Boswell,Gettysburg ,Gettysburg ,Min Bus ,Birthday ,No ,High ,Corporate - Existing ,Yes ,Maintenance ,Cash
12/12/11,Adams,New Paris,Dorney Park ,Dorney Park ,School Bus ,Graduation ,No ,Low ,Religous - New ,No ,Driver Error or Miscalculation ,Rewards
3/6/7,Fairview,Jefferson,Kennywood Park ,Kennywood Park ,Green Limo ,Funeral ,Yes ,Medium ,Corporate - Existing ,No ,Weather ,Credit
8/10/3,Fairview,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Private ,No ,High ,Religous - New ,Yes ,Personal ,Check
1/11/8,Liverpool,Boswell,Sesame Place ,Sesame Place ,Stretch ,Funeral ,No ,Medium ,Corporate - Existing ,No ,Maintenance ,Invoiced
1/9/2,Yorkana,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Ford Excursion ,Cruise ,No ,High ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
2/10/1,Adams,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Corporate ,Yes ,None ,Religous - New ,No ,Weather ,Invoiced
2/9/5,Gilberton,New Paris,Gettysburg ,Gettysburg ,Ford Excursion ,Graduation ,Yes ,Low ,Individual - Existing ,No ,Moving or Traffic Violation ,Check
12/9/1,Jefferson,Cassandra,Dutch Wonderland ,Dutch Wonderland ,School Bus ,Sporting Event ,Yes ,High ,School District - Existing ,Yes ,Moving or Traffic Violation ,Credit
6/8/5,Big Run,Liverpool,Dutch Wonderland ,Dutch Wonderland ,Stretch ,Wedding ,Yes ,None ,School District - New ,No ,Driver Error or Miscalculation ,Rewards
9/7/5,McVeytown,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Van ,Tour ,Yes ,Low ,Corporate - Existing ,Yes ,Weather ,Personal Credit Card
12/4/12,Liverpool,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Funeral ,Yes ,None ,School District - New ,No ,Personal ,Rewards
10/6/5,Fairview,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Graduation ,Yes ,Low ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Check
7/5/4,Liverpool,Cassandra,Kennywood Park ,Kennywood Park ,Stretch ,Wedding ,Yes ,Medium ,Religous - New ,No ,Driver Error or Miscalculation ,Cash
4/1/4,Cassandra,Gilberton,Waldameer and Water World ,Waldameer and Water World ,Limo Bus ,Cruise ,No ,Medium ,Corporate - Existing ,No ,Moving or Traffic Violation ,Check
3/8/3,Boswell,Big Run,Dorney Park ,Dorney Park ,Stretch ,Wedding ,No ,Medium ,Individual - Existing ,No ,Health Related ,Check
6/10/4,Big Run,Gilberton,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Holiday ,Yes ,None ,School District - New ,No ,Weather ,Personal Credit Card
7/6/2,Cassandra,Big Run,Kennywood Park ,Kennywood Park ,Sedan ,Tour ,Yes ,Medium ,School District - Existing ,Yes ,Moving or Traffic Violation ,Cash
6/12/12,Yorkana,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Holiday ,No ,None ,Individual - Existing ,Yes ,Health Related ,Personal Credit Card
3/6/5,Gilberton,New Paris,Gettysburg ,Gettysburg ,Sedan ,Cruise ,No ,None ,Religous - New ,Yes , ,Rewards
3/6/4,New Paris,Yorkana,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Travel/Airport ,No ,High ,School District - New ,Yes , ,Invoiced
8/7/12,McVeytown,New Paris,Kennywood Park ,Kennywood Park ,School Bus ,Travel/Airport ,Yes ,High ,Corporate - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
8/5/8,Gilberton,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Birthday ,Yes ,High ,Religous - New ,Yes ,Moving or Traffic Violation ,Cash
10/11/4,Gilberton,Boswell,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Anniversary ,No ,None ,School District - New ,No ,Personal ,Personal Credit Card
5/6/7,Liverpool,Liverpool,lost river caverns ,lost river caverns ,Mini Van ,Travel/Airport ,No ,Medium ,Corporate - Existing ,No , ,Cash
7/6/10,Big Run,East Brady,Hershey park ,Hershey park ,Min Bus ,Wedding ,Yes ,High ,Corporate - Existing ,Yes ,Maintenance ,Cash
11/6/7,Boswell,McVeytown,Liberty Bell ,Liberty Bell ,Ford Excursion ,Birthday ,Yes ,Low ,Religous - Existing ,No , ,Check
10/1/1,McVeytown,Adams,Hershey park ,Hershey park ,Limo Bus ,Wedding ,Yes ,Medium ,Religous - Existing ,No ,Moving or Traffic Violation ,Invoiced
2/11/9,East Brady,Yorkana,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Anniversary ,No ,None ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
6/1/4,Jefferson,Gilberton,Dorney Park ,Dorney Park ,Hummer Limo ,Sporting Event ,Yes ,Medium ,Individual - Existing ,Yes ,Personal ,Cash
10/7/3,Liverpool,New Paris,Waldameer and Water World ,Waldameer and Water World ,Mini Van ,Corporate ,No ,None ,Corporate - Existing ,Yes ,Personal ,Rewards
11/4/1,New Paris,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Travel/Airport ,No ,High ,Religous - Existing ,No ,Accident ,Cash
3/6/8,Big Run,McVeytown,Sesame Place ,Sesame Place ,Hummer Limo ,Sporting Event ,Yes ,None ,Religous - New ,No , ,Personal Credit Card
1/2/10,Big Run,Jefferson,lost river caverns ,lost river caverns ,School Bus ,Birthday ,Yes ,High ,Corporate - New ,No , ,Check
5/7/9,Cassandra,Fairview,Gettysburg ,Gettysburg ,Van ,Holiday ,Yes ,None ,Individual - Existing ,Yes ,Personal ,Check
1/9/3,Adams,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,Ford Excursion ,Wedding ,No ,None ,School District - Existing ,Yes ,Personal ,Check
1/12/2,East Brady,New Paris,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Travel/Airport ,No ,None ,Individual - New ,No ,Health Related ,Personal Credit Card
8/7/3,Gilberton,Gilberton,Liberty Bell ,Liberty Bell ,School Bus ,Corporate ,Yes ,Medium ,School District - New ,Yes ,Weather ,Rewards
12/12/1,Gilberton,McVeytown,Kennywood Park ,Kennywood Park ,Mini Van ,Funeral ,No ,Medium ,Corporate - New ,No ,Health Related ,Rewards
6/9/8,Big Run,McVeytown,Waldameer and Water World ,Waldameer and Water World ,Green Limo ,Cruise ,No ,Medium ,School District - Existing ,Yes ,Health Related ,Check
8/6/6,Adams,Adams,Sesame Place ,Sesame Place ,Mini Van ,Corporate ,No ,Low ,School District - Existing ,Yes ,Health Related ,Invoiced
6/2/8,McVeytown,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Cruise ,Yes ,Low ,Individual - New ,Yes ,Personal ,Rewards
7/3/10,Yorkana,Gilberton,Gettysburg ,Gettysburg ,Limo Bus ,Corporate ,Yes ,None ,Religous - New ,Yes ,Driver Error or Miscalculation ,Invoiced
9/11/10,Gilberton,Jefferson,Gettysburg ,Gettysburg ,Mini Van ,Corporate ,No ,None ,Corporate - Existing ,No , ,Check
4/9/2,Liverpool,Adams,Sesame Place ,Sesame Place ,Mini Van ,Corporate ,No ,High ,School District - New ,Yes ,Accident ,Invoiced
10/9/6,Big Run,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Birthday ,No ,Low ,Individual - Existing ,Yes ,Health Related ,Check
1/12/8,Jefferson,East Brady,lost river caverns ,lost river caverns ,Mini Van ,Wedding ,Yes ,Low ,Individual - Existing ,Yes ,Accident ,Invoiced
5/7/12,Liverpool,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Towne Car ,Holiday ,No ,Low ,Individual - New ,Yes ,Health Related ,Rewards
7/10/2,Jefferson,Gilberton,Hershey park ,Hershey park ,School Bus ,Sporting Event ,No ,High ,School District - New ,No ,Moving or Traffic Violation ,Cash
12/8/9,New Paris,Yorkana,Kennywood Park ,Kennywood Park ,Towne Car ,Tour ,Yes ,Low ,School District - Existing ,Yes ,Health Related ,Rewards
6/4/12,McVeytown,McVeytown,Dorney Park ,Dorney Park ,Mini Van ,Private ,Yes ,None ,Religous - Existing ,No ,Driver Error or Miscalculation ,Check
1/2/5,Liverpool,Boswell,lost river caverns ,lost river caverns ,Min Bus ,Wedding ,No ,None ,Individual - Existing ,No ,Accident ,Personal Credit Card
10/2/6,Big Run,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Ford Excursion ,Holiday ,No ,None ,Religous - New ,No , ,Credit
9/5/9,Gilberton,Liverpool,lost river caverns ,lost river caverns ,Limo Bus ,Tour ,No ,High ,Religous - Existing ,No , ,Invoiced
1/12/8,Big Run,New Paris,Kennywood Park ,Kennywood Park ,Stretch ,Holiday ,No ,Medium ,School District - New ,Yes ,Driver Error or Miscalculation ,Invoiced
10/5/10,Big Run,Gilberton,Hershey park ,Hershey park ,Church Bus ,Graduation ,No ,None ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
11/9/10,East Brady,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,Hummer Limo ,Corporate ,No ,None ,Individual - New ,Yes ,Health Related ,Check
2/3/11,Adams,Liverpool,Liberty Bell ,Liberty Bell ,Van ,Birthday ,Yes ,High ,School District - Existing ,Yes ,Maintenance ,Check
12/11/10,Big Run,Yorkana,Liberty Bell ,Liberty Bell ,Stretch ,Birthday ,Yes ,None ,Corporate - New ,Yes ,Personal ,Credit
2/8/12,Fairview,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Min Bus ,Sporting Event ,Yes ,Low ,Religous - Existing ,No ,Moving or Traffic Violation ,Cash
11/7/2,McVeytown,Fairview,lost river caverns ,lost river caverns ,Mini Van ,Funeral ,No ,None ,Corporate - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
1/2/11,Liverpool,Big Run,Dorney Park ,Dorney Park ,Sedan ,Holiday ,Yes ,None ,Religous - New ,Yes ,Accident ,Credit
8/4/12,Big Run,Fairview,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Birthday ,Yes ,High ,Corporate - New ,No , ,Cash
1/10/10,Gilberton,East Brady,Dorney Park ,Dorney Park ,Towne Car ,Corporate ,No ,High ,Religous - New ,No ,Moving or Traffic Violation ,Credit
12/12/12,Cassandra,Boswell,Waldameer and Water World ,Waldameer and Water World ,Van ,Graduation ,No ,High ,Individual - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
1/6/11,East Brady,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Tour ,No ,None ,Corporate - Existing ,No ,Weather ,Personal Credit Card
7/4/6,Yorkana,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Church Bus ,Wedding ,No ,None ,Corporate - Existing ,Yes ,Maintenance ,Cash
2/9/8,Boswell,Big Run,Dutch Wonderland ,Dutch Wonderland ,Van ,Holiday ,No ,None ,Religous - New ,Yes ,Maintenance ,Rewards
11/3/5,Gilberton,Fairview,Liberty Bell ,Liberty Bell ,Church Bus ,Anniversary ,No ,Low ,Corporate - New ,No ,Weather ,Rewards
9/8/9,McVeytown,New Paris,lost river caverns ,lost river caverns ,Green Limo ,Birthday ,Yes ,None ,Corporate - Existing ,No ,Maintenance ,Rewards
8/2/10,Fairview,Liverpool,Liberty Bell ,Liberty Bell ,Hummer Limo ,Sporting Event ,Yes ,Medium ,School District - New ,Yes ,Driver Error or Miscalculation ,Cash
2/7/3,McVeytown,McVeytown,Liberty Bell ,Liberty Bell ,Mini Van ,Tour ,No ,Medium ,Corporate - Existing ,Yes , ,Personal Credit Card
9/12/8,Yorkana,Big Run,Dorney Park ,Dorney Park ,Sedan ,Anniversary ,No ,Low ,Religous - Existing ,No ,Accident ,Invoiced
3/3/11,New Paris,Boswell,Gettysburg ,Gettysburg ,Church Bus ,Funeral ,No ,High ,School District - New ,No ,Personal ,Cash
6/4/1,Liverpool,McVeytown,Dorney Park ,Dorney Park ,Ford Excursion ,Private ,No ,None ,School District - New ,Yes ,Accident ,Cash
11/6/7,Boswell,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Graduation ,Yes ,Medium ,School District - Existing ,Yes ,Health Related ,Check
9/3/9,Cassandra,Gilberton,Liberty Bell ,Liberty Bell ,Green Limo ,Private ,Yes ,Medium ,Corporate - Existing ,Yes , ,Invoiced
5/3/6,New Paris,McVeytown,Hershey park ,Hershey park ,Van ,Birthday ,Yes ,Medium ,Religous - New ,No ,Moving or Traffic Violation ,Rewards
11/9/2,Boswell,Boswell,Kennywood Park ,Kennywood Park ,Ford Excursion ,Cruise ,No ,High ,Corporate - Existing ,No ,Moving or Traffic Violation ,Rewards
12/8/5,Fairview,Big Run,Hershey park ,Hershey park ,Min Bus ,Corporate ,No ,Low ,School District - Existing ,Yes ,Weather ,Rewards
9/4/2,Liverpool,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Holiday ,No ,High ,School District - New ,No ,Accident ,Check
12/1/11,Boswell,McVeytown,Sesame Place ,Sesame Place ,Towne Car ,Anniversary ,No ,None ,Religous - New ,No ,Maintenance ,Cash
1/1/3,Boswell,New Paris,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Graduation ,No ,High ,School District - New ,Yes ,Health Related ,Cash
1/12/2,Liverpool,Jefferson,Kennywood Park ,Kennywood Park ,Min Bus ,Holiday ,No ,None ,Individual - New ,Yes ,Weather ,Invoiced
7/5/2,East Brady,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,Hummer Limo ,Corporate ,Yes ,None ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Check
5/4/4,Fairview,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Travel/Airport ,No ,None ,School District - Existing ,No ,Health Related ,Cash
8/8/10,Big Run,East Brady,Dutch Wonderland ,Dutch Wonderland ,Van ,Birthday ,Yes ,None ,Corporate - Existing ,No ,Maintenance ,Credit
4/3/11,East Brady,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Corporate ,No ,Medium ,Individual - New ,Yes ,Maintenance ,Rewards
3/7/7,Gilberton,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Holiday ,No ,None ,School District - New ,Yes , ,Invoiced
5/10/8,Cassandra,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Holiday ,No ,None ,School District - Existing ,No , ,Cash
1/7/5,Yorkana,Gilberton,Liberty Bell ,Liberty Bell ,Min Bus ,Funeral ,No ,None ,School District - Existing ,No ,Driver Error or Miscalculation ,Cash
9/6/9,Fairview,McVeytown,Waldameer and Water World ,Waldameer and Water World ,Mini Van ,Holiday ,No ,Low ,School District - New ,Yes ,Health Related ,Personal Credit Card
8/1/7,East Brady,East Brady,Dorney Park ,Dorney Park ,Mini Van ,Private ,No ,Medium ,School District - New ,Yes ,Weather ,Credit
5/10/5,Cassandra,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Anniversary ,Yes ,Medium ,Religous - New ,No ,Weather ,Check
1/3/9,New Paris,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Church Bus ,Birthday ,Yes ,High ,Religous - New ,No ,Personal ,Cash
2/11/3,Yorkana,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Corporate ,Yes ,Low ,Individual - New ,Yes ,Accident ,Credit
1/1/4,Gilberton,McVeytown,Dorney Park ,Dorney Park ,Church Bus ,Private ,No ,High ,Religous - Existing ,Yes ,Accident ,Cash
7/9/9,Liverpool,Gilberton,Hershey park ,Hershey park ,Ford Excursion ,Holiday ,No ,Medium ,School District - Existing ,Yes ,Moving or Traffic Violation ,Check
10/6/6,Fairview,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Private ,No ,None ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Cash
12/9/1,New Paris,Liverpool,Gettysburg ,Gettysburg ,Sedan ,Birthday ,Yes ,High ,School District - New ,No ,Maintenance ,Personal Credit Card
4/9/9,Adams,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Wedding ,Yes ,None ,Individual - Existing ,No ,Personal ,Rewards
6/12/7,Big Run,Jefferson,Kennywood Park ,Kennywood Park ,Van ,Graduation ,No ,Low ,Religous - New ,No ,Moving or Traffic Violation ,Credit
7/11/1,East Brady,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Stretch ,Corporate ,Yes ,High ,Individual - New ,Yes ,Maintenance ,Invoiced
1/10/4,Cassandra,Cassandra,Dorney Park ,Dorney Park ,Van ,Graduation ,No ,Medium ,Individual - Existing ,Yes ,Driver Error or Miscalculation ,Credit
9/5/6,Yorkana,New Paris,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Church Bus ,Birthday ,No ,None ,School District - Existing ,No ,Driver Error or Miscalculation ,Personal Credit Card
6/1/3,Liverpool,Big Run,Sesame Place ,Sesame Place ,Towne Car ,Tour ,No ,Low ,Individual - New ,No ,Weather ,Credit
4/12/12,Fairview,East Brady,Liberty Bell ,Liberty Bell ,Church Bus ,Cruise ,No ,Low ,Religous - Existing ,No ,Health Related ,Check
2/8/9,Liverpool,Gilberton,lost river caverns ,lost river caverns ,Green Limo ,Graduation ,No ,Medium ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Credit
10/9/10,Cassandra,Cassandra,lost river caverns ,lost river caverns ,Towne Car ,Funeral ,No ,High ,Corporate - Existing ,Yes ,Maintenance ,Rewards
10/6/11,Jefferson,East Brady,Hershey park ,Hershey park ,Stretch ,Funeral ,Yes ,High ,School District - New ,Yes ,Weather ,Cash
11/3/11,McVeytown,Boswell,Kennywood Park ,Kennywood Park ,Green Limo ,Holiday ,Yes ,Medium ,Individual - New ,Yes ,Maintenance ,Personal Credit Card
5/7/4,McVeytown,Big Run,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Wedding ,No ,Medium ,School District - Existing ,Yes ,Accident ,Invoiced
10/7/11,Liverpool,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Towne Car ,Cruise ,No ,Medium ,Corporate - New ,No ,Moving or Traffic Violation ,Personal Credit Card
11/2/9,Liverpool,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Van ,Cruise ,No ,Low ,Individual - New ,Yes ,Maintenance ,Check
